Rank	Journal	Journal.ISSN.(print.version)	Journal.EISSN.(online.version)	Pmid	Doi	fulltext	Journal.title	Journal.URL	Alternative.title	Publisher	Society.or.institution	"Platform,.host.or.aggregator"	Country.of.publisher	Journal.article.processing.charges.(APCs)	APC.information.URL	APC.amount	Currency	Journal.article.submission.fee	Submission.fee.URL	Submission.fee.amount	Submission.fee.currency	Journal.waiver.policy.(for.developing.country.authors.etc)	Waiver.policy.information.URL	Digital.archiving.policy.or.program(s)	Archiving:.national.library	Archiving:.other	Archiving.infomation.URL	Journal.full-text.crawl.permission	Permanent.article.identifiers	Journal.provides.download.statistics	Download.statistics.information.URL	First.calendar.year.journal.provided.online.Open.Access.content	Full.text.formats	Keywords	Full.text.language	URL.for.the.Editorial.Board.page	Review.process	Review.process.information.URL	URL.for.journal's.aims.&.scope	URL.for.journal's.instructions.for.authors	Journal.plagiarism.screening.policy	Plagiarism.information.URL	Average.number.of.weeks.between.submission.and.publication	URL.for.journal's.Open.Access.statement	Machine-readable.CC.licensing.information.embedded.or.displayed.in.articles	URL.to.an.example.page.with.embedded.licensing.information	Journal.license	License.attributes	URL.for.license.terms	Does.this.journal.allow.unrestricted.reuse.in.compliance.with.BOAI?	Deposit.policy.directory	Author.holds.copyright.without.restrictions	Copyright.information.URL	Author.holds.publishing.rights.without.restrictions	Publishing.rights.information.URL	DOAJ.Seal	Tick:.Accepted.after.March.2014	Added.on.Date	Subjects	Number.of.Article.Records	Most.Recent.Article.Added	
275	Front Endocrinol (Lausanne)	NA	1664-2392	32194509	10.3389/fendo.2020.00114	done	Frontiers in Endocrinology	http://www.frontiersin.org/endocrinology	NA	Frontiers Media S.A.	NA	Frontiers Media S.A.	Switzerland	Yes	http://www.frontiersin.org/endocrinology/fees	2490	USD - US Dollar	NA	http://www.frontiersin.org/endocrinology/fees	NA	NA	Yes	http://www.frontiersin.org/endocrinology/fees	CLOCKSS	NA	NA	https://www.frontiersin.org/journals/endocrinology#about	Yes	DOI	Yes	http://loop.frontiersin.org/about	2010	"PDF, HTML, ePUB, XML"	molecular communication	English	http://www.frontiersin.org/endocrinology/editorialboard	Blind peer review	http://www.frontiersin.org/endocrinology/reviewguidelines	http://www.frontiersin.org/endocrinology/about	http://www.frontiersin.org/endocrinology/authorguidelines	Yes	http://www.frontiersin.org/endocrinology/reviewguidelines	14	http://www.frontiersin.org/endocrinology/about	Yes	https://www.frontiersin.org/articles/10.3389/fendo.2019.00419/full	CC BY	NA	http://journal.frontiersin.org/journal/endocrinology#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/endocrinology#about	TRUE	http://journal.frontiersin.org/journal/endocrinology#about	Yes	Yes	2011-01-25T08:47:17Z	Medicine: Internal medicine: Specialties of internal medicine: Diseases of the endocrine glands. Clinical endocrinology	3286	2020-03-25T05:01:50Z	
276	Front Genet	NA	1664-8021	32194645	10.3389/fgene.2020.00197	done	Frontiers in Genetics	http://journal.frontiersin.org/journal/genetics	NA	Frontiers Media S.A.	NA	NA	Switzerland	Yes	http://journal.frontiersin.org/journal/genetics#fees	2490	USD - US Dollar	NA	http://journal.frontiersin.org/journal/genetics#fees	NA	NA	Yes	http://journal.frontiersin.org/journal/genetics#fees	CLOCKSS	NA	NA	https://www.frontiersin.org/journals/genetics#about	Yes	DOI	Yes	http://journal.frontiersin.org/article/10.3389/fgene.2014.00422/abstract#impact	2010	"PDF, HTML, ePUB, XML"	"epigenomics, genomic physiology, systems biology"	English	http://journal.frontiersin.org/journal/genetics#editorial-board	Blind peer review	http://journal.frontiersin.org/journal/genetics#review-guidelines	http://journal.frontiersin.org/journal/genetics#about	http://journal.frontiersin.org/journal/genetics#author-guidelines	Yes	http://journal.frontiersin.org/journal/genetics#review-guidelines	14	http://journal.frontiersin.org/journal/genetics#about	Yes	https://www.frontiersin.org/articles/10.3389/fgene.2019.00573/full	CC BY	NA	http://journal.frontiersin.org/journal/genetics#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/genetics#about	TRUE	http://journal.frontiersin.org/journal/genetics#about	Yes	Yes	2011-04-28T16:05:55Z	Science: Biology (General): Genetics	4418	2020-03-26T04:40:14Z	
277	Front Immunol	NA	1664-3224	32194574	10.3389/fimmu.2020.00411	done	Frontiers in Immunology	http://journal.frontiersin.org/journal/immunology	NA	Frontiers Media S.A.	NA	NA	Switzerland	Yes	http://journal.frontiersin.org/journal/immunology#fees	2950	USD - US Dollar	NA	http://journal.frontiersin.org/journal/immunology#fees	NA	NA	Yes	http://journal.frontiersin.org/journal/immunology#fees	CLOCKSS	NA	NA	https://www.frontiersin.org/journals/immunology#about	Yes	DOI	Yes	http://journal.frontiersin.org/article/10.3389/fimmu.2014.00665/abstract#impact	2010	"PDF, HTML, ePUB, XML"	"inflammation, immunological tolerance, microbial immunology"	English	http://journal.frontiersin.org/journal/immunology#editorial-board	Blind peer review	http://journal.frontiersin.org/journal/immunology#review-guidelines	http://journal.frontiersin.org/journal/immunology#about	http://journal.frontiersin.org/journal/immunology#author-guidelines	Yes	http://journal.frontiersin.org/journal/immunology#review-guidelines	14	http://journal.frontiersin.org/journal/immunology#about	Yes	https://www.frontiersin.org/articles/10.3389/fimmu.2019.01347/full	CC BY	NA	http://journal.frontiersin.org/journal/immunology#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/immunology#about	TRUE	http://journal.frontiersin.org/journal/immunology#about	Yes	Yes	2011-04-28T15:54:40Z	Medicine: Internal medicine: Specialties of internal medicine: Immunologic diseases. Allergy	11265	2020-03-25T17:15:50Z	
278	Front Integr Neurosci	NA	1662-5145	32174816	10.3389/fnint.2020.00010	done	Frontiers in Integrative Neuroscience	http://www.frontiersin.org/integrative_neuroscience	NA	Frontiers Media S.A.	NA	Frontiers Media S.A.	Switzerland	Yes	http://www.frontiersin.org/integrative_neuroscience/fees	1900	USD - US Dollar	NA	http://www.frontiersin.org/integrative_neuroscience/fees	NA	NA	Yes	http://www.frontiersin.org/integrative_neuroscience/fees	CLOCKSS	NA	NA	https://www.frontiersin.org/journals/integrative-neuroscience#about	Yes	DOI	Yes	http://loop.frontiersin.org/about	2007	"PDF, HTML, ePUB, XML"	brain functioning	English	http://www.frontiersin.org/integrative_neuroscience/editorialboard	Blind peer review	http://www.frontiersin.org/integrative_neuroscience/reviewguidelines	http://www.frontiersin.org/integrative_neuroscience/about	http://www.frontiersin.org/integrative_neuroscience/authorguidelines	Yes	http://www.frontiersin.org/integrative_neuroscience/reviewguidelines	14	http://www.frontiersin.org/integrative_neuroscience/about	Yes	https://www.frontiersin.org/articles/10.3389/fnint.2019.00001/full	CC BY	NA	http://journal.frontiersin.org/journal/integrative-neuroscience#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/integrative-neuroscience#about	TRUE	http://journal.frontiersin.org/journal/integrative-neuroscience#about	Yes	Yes	2008-09-11T15:59:33Z	Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system	798	2020-03-13T12:58:44Z	
279	Front Microbiol	NA	1664-302X	32194538	10.3389/fmicb.2020.00361	done	Frontiers in Microbiology	http://www.frontiersin.org/microbiology	NA	Frontiers Media S.A.	NA	Frontiers Media S.A.	Switzerland	Yes	http://www.frontiersin.org/microbiology/fees	2950	USD - US Dollar	NA	http://www.frontiersin.org/microbiology/fees	NA	NA	Yes	http://www.frontiersin.org/microbiology/fees	CLOCKSS	NA	NA	NA	Yes	DOI	Yes	http://loop.frontiersin.org/about	2010	"PDF, HTML, ePUB, XML"	food microbiology	English	http://www.frontiersin.org/microbiology/editorialboard	Blind peer review	http://www.frontiersin.org/microbiology/reviewguidelines	http://www.frontiersin.org/microbiology/about	http://www.frontiersin.org/microbiology/authorguidelines	Yes	http://www.frontiersin.org/microbiology/reviewguidelines	14	http://www.frontiersin.org/microbiology/about	Yes	https://www.frontiersin.org/articles/10.3389/fmicb.2019.01433/full	CC BY	NA	http://journal.frontiersin.org/journal/microbiology#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/microbiology#about	TRUE	http://journal.frontiersin.org/journal/microbiology#about	Yes	Yes	2011-01-25T08:54:29Z	Science: Microbiology	14139	2020-03-26T06:35:24Z	
280	Front Neurol	NA	1664-2295	32194499	10.3389/fneur.2020.00157	done	Frontiers in Neurology	http://frontiersin.org/neurology	NA	Frontiers Media S.A.	NA	Frontiers Media S.A.	Switzerland	Yes	http://frontiersin.org/neurology/fees	2490	USD - US Dollar	NA	http://frontiersin.org/neurology/fees	NA	NA	Yes	http://frontiersin.org/neurology/fees	CLOCKSS	NA	NA	https://www.frontiersin.org/journals/neurology#about	Yes	DOI	Yes	http://loop.frontiersin.org/about	2010	"PDF, HTML, ePUB, XML"	clinical neuroscience	English	http://frontiersin.org/neurology/editorialboard	Blind peer review	http://frontiersin.org/neurology/reviewguidelines	http://frontiersin.org/neurology/about	http://frontiersin.org/neurology/authorguidelines	Yes	http://frontiersin.org/neurology/reviewguidelines	14	http://frontiersin.org/neurology/about	Yes	https://www.frontiersin.org/articles/10.3389/fneur.2019.00647/full	CC BY	NA	http://journal.frontiersin.org/journal/neurology#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/neurology#about	TRUE	http://journal.frontiersin.org/journal/neurology#about	Yes	Yes	2010-12-10T14:22:29Z	Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system	4688	2020-03-25T04:55:26Z	
281	Front Neurorobot	NA	1662-5218	32174822	10.3389/fnbot.2020.00014	done	Frontiers in Neurorobotics	http://www.frontiersin.org/neurorobotics	NA	Frontiers Media S.A.	NA	Frontiers Media S.A.	Switzerland	Yes	http://www.frontiersin.org/neurorobotics/fees	2950	USD - US Dollar	NA	http://www.frontiersin.org/neurorobotics/fees	NA	NA	Yes	http://www.frontiersin.org/neurorobotics/fees	CLOCKSS	NA	NA	https://www.frontiersin.org/journals/neurorobotics#about	Yes	DOI	Yes	http://loop.frontiersin.org/about	2007	"PDF, HTML, ePUB, XML"	brain machine interfaces	English	http://www.frontiersin.org/neurorobotics/editorialboard	Blind peer review	http://www.frontiersin.org/neurorobotics/reviewguidelines	http://www.frontiersin.org/neurorobotics/about	http://www.frontiersin.org/neurorobotics/authorguidelines	Yes	http://www.frontiersin.org/neurorobotics/reviewguidelines	14	http://www.frontiersin.org/neurorobotics/about	Yes	https://www.frontiersin.org/articles/10.3389/fnbot.2019.00038/full	CC BY	NA	http://journal.frontiersin.org/journal/neurorobotics#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/neurorobotics#about	TRUE	http://journal.frontiersin.org/journal/neurorobotics#about	Yes	Yes	2008-09-12T14:22:51Z	Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry	391	2020-03-16T16:12:09Z	
282	Front Pharmacol	NA	1663-9812	32194428	10.3389/fphar.2020.00221	done	Frontiers in Pharmacology	http://journal.frontiersin.org/journal/pharmacology	NA	Frontiers Media S.A.	NA	Frontiers Media S.A.	Switzerland	Yes	http://frontiersin.org/pharmacology/fees	2950	USD - US Dollar	NA	http://frontiersin.org/pharmacology/fees	NA	NA	Yes	http://frontiersin.org/pharmacology/fees	CLOCKSS	NA	NA	NA	Yes	DOI	Yes	http://loop.frontiersin.org/about	2010	"PDF, HTML, ePUB, XML"	clinical pharmacology	English	http://frontiersin.org/pharmacology/editorialboard	Blind peer review	http://frontiersin.org/pharmacology/reviewguidelines	http://frontiersin.org/pharmacology/about	http://frontiersin.org/pharmacology/authorguidelines	Yes	http://frontiersin.org/pharmacology/reviewguidelines	14	http://frontiersin.org/pharmacology/about	Yes	https://www.frontiersin.org/articles/10.3389/fphar.2019.00681/full	CC BY	NA	http://journal.frontiersin.org/journal/pharmacology#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/pharmacology#about	TRUE	http://journal.frontiersin.org/journal/pharmacology#about	Yes	Yes	2010-12-09T16:52:59Z	Medicine: Therapeutics. Pharmacology	5958	2020-03-26T08:11:48Z	
283	Front Physiol	NA	1664-042X	32194442	10.3389/fphys.2020.00191	done	Frontiers in Physiology	http://frontiersin.org/physiology	NA	Frontiers Media S.A.	NA	Frontiers Media S.A.	Switzerland	Yes	http://home.frontiersin.org/about/publishing-fees	2950	USD - US Dollar	NA	http://home.frontiersin.org/about/publishing-fees	NA	NA	Yes	http://home.frontiersin.org/about/publishing-fees	CLOCKSS	NA	NA	https://www.frontiersin.org/journals/physiology#about	Yes	DOI	Yes	http://loop.frontiersin.org/about	2010	"PDF, HTML, ePUB, XML"	biophysics	English	http://frontiersin.org/physiology/editorialboard	Blind peer review	http://frontiersin.org/physiology/reviewguidelines	http://frontiersin.org/physiology/about	http://frontiersin.org/physiology/authorguidelines	Yes	http://frontiersin.org/physiology/reviewguidelines	14	http://frontiersin.org/physiology/about	Yes	https://www.frontiersin.org/articles/10.3389/fphys.2019.00802/full	CC BY	NA	http://journal.frontiersin.org/journal/physiology#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/physiology#about	TRUE	http://journal.frontiersin.org/journal/physiology#about	Yes	Yes	2011-01-25T13:34:02Z	Science: Physiology	7304	2020-03-26T06:34:34Z	
284	Front Psychiatry	NA	1664-0640	32194463	10.3389/fpsyt.2020.00170	done	Frontiers in Psychiatry	http://frontiersin.org/psychiatry	NA	Frontiers Media S.A.	NA	Frontiers Media S.A.	Switzerland	Yes	http://frontiersin.org/psychiatry/fees	1900	USD - US Dollar	NA	http://frontiersin.org/psychiatry/fees	NA	NA	Yes	http://frontiersin.org/psychiatry/fees	CLOCKSS	NA	NA	https://www.frontiersin.org/journals/psychiatry#about	Yes	DOI	Yes	http://loop.frontiersin.org/about	2009	"PDF, HTML, ePUB, XML"	"dementia, sleep disorders, molecular psychiatry, schizophrenia, eating behavior, forensic psychiatry"	English	http://frontiersin.org/psychiatry/editorialboard	Blind peer review	http://frontiersin.org/psychiatry/reviewguidelines	http://frontiersin.org/psychiatry/about	http://frontiersin.org/psychiatry/authorguidelines	Yes	http://frontiersin.org/psychiatry/reviewguidelines	14	http://frontiersin.org/psychiatry/about	Yes	https://www.frontiersin.org/articles/10.3389/fpsyt.2019.00472/full	CC BY	NA	http://journal.frontiersin.org/journal/psychiatry#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/psychiatry#about	TRUE	http://journal.frontiersin.org/journal/psychiatry#about	Yes	Yes	2010-11-22T17:48:32Z	Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry	3243	2020-03-26T04:29:05Z	
285	Front Psychol	NA	1664-1078	32194491	10.3389/fpsyg.2020.00394	done	Frontiers in Psychology	http://frontiersin.org/psychology	NA	Frontiers Media S.A.	NA	Frontiers Media S.A.	Switzerland	Yes	http://frontiersin.org/psychology/fees	2950	USD - US Dollar	NA	http://frontiersin.org/psychology/fees	NA	NA	Yes	http://frontiersin.org/psychology/fees	CLOCKSS	NA	NA	https://www.frontiersin.org/journals/psychology#about	Yes	DOI	Yes	http://loop.frontiersin.org/about	2010	"PDF, HTML, ePUB, XML"	"cultural psychology, evolutionary psychology, psychopathology, organizational psychology, developmental psychology, educational psychology"	English	http://frontiersin.org/psychology/editorialboard	Blind peer review	http://frontiersin.org/psychology/reviewguidelines	http://frontiersin.org/psychology/about	http://frontiersin.org/psychology/authorguidelines	Yes	http://frontiersin.org/psychology/reviewguidelines	14	http://frontiersin.org/psychology/about	Yes	https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01242/full	CC BY	NA	http://journal.frontiersin.org/journal/psychology#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/psychology#about	TRUE	http://journal.frontiersin.org/journal/psychology#about	Yes	Yes	2010-11-23T16:45:11Z	Philosophy. Psychology. Religion: Psychology	15795	2020-03-26T06:32:18Z	
286	Front Synaptic Neurosci	NA	1663-3563	32184715	10.3389/fnsyn.2020.00007	done	Frontiers in Synaptic Neuroscience	http://www.frontiersin.org/synaptic_neuroscience	NA	Frontiers Media S.A.	NA	Frontiers Media S.A.	Switzerland	Yes	http://www.frontiersin.org/synaptic_neuroscience/fees	1900	USD - US Dollar	NA	http://www.frontiersin.org/synaptic_neuroscience/fees	NA	NA	Yes	http://www.frontiersin.org/synaptic_neuroscience/fees	CLOCKSS	NA	NA	https://www.frontiersin.org/journals/synaptic-neuroscience#about	Yes	DOI	Yes	http://loop.frontiersin.org/about	2010	"PDF, HTML, ePUB, XML"	synapses	English	http://www.frontiersin.org/synaptic_neuroscience/editorialboard	Blind peer review	http://www.frontiersin.org/synaptic_neuroscience/reviewguidelines	http://www.frontiersin.org/synaptic_neuroscience/about	http://www.frontiersin.org/synaptic_neuroscience/authorguidelines	Yes	http://www.frontiersin.org/synaptic_neuroscience/reviewguidelines	14	http://www.frontiersin.org/synaptic_neuroscience/about	Yes	https://www.frontiersin.org/articles/10.3389/fnsyn.2019.00015/full	CC BY	NA	http://journal.frontiersin.org/journal/synaptic-neuroscience#about	Yes	Sherpa/Romeo	TRUE	http://journal.frontiersin.org/journal/synaptic-neuroscience#about	TRUE	http://journal.frontiersin.org/journal/synaptic-neuroscience#about	Yes	Yes	2011-01-25T09:16:59Z	Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry	267	2020-03-25T13:08:07Z	
287	Front. Zool.	NA	1742-9994	32206076	10.1186/s12983-020-00354-0	done	Frontiers in Zoology	http://www.frontiersinzoology.com/	NA	BMC	Deutsche Zoologische Gesellschaft	BMC	United Kingdom	Yes	http://frontiersinzoology.biomedcentral.com/about	1510	GBP - Pound Sterling	NA	http://frontiersinzoology.biomedcentral.com/about	NA	NA	Yes	http://frontiersinzoology.biomedcentral.com/about	"LOCKSS, CLOCKSS, Portico, PMC/Europe PMC/PMC Canada"	British Library; Koninklijke Bibliotheek	NA	http://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/journal-archiving	Yes	DOI	Yes	http://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/article-metrics	2004	"PDF, HTML"	"animal life, zoology"	English	http://frontiersinzoology.biomedcentral.com/about/editorial-board	Blind peer review	http://frontiersinzoology.biomedcentral.com/about	http://frontiersinzoology.biomedcentral.com/about	http://frontiersinzoology.biomedcentral.com/submission-guidelines	Yes	http://www.biomedcentral.com/getpublished/editorial-policies	15	http://frontiersinzoology.biomedcentral.com/about	Yes	http://frontiersinzoology.biomedcentral.com/articles/10.1186/s12983-016-0180-y	CC BY	NA	http://www.biomedcentral.com/getpublished/copyright-and-license	Yes	Sherpa/Romeo	TRUE	http://www.biomedcentral.com/about/policies/license-agreement	TRUE	http://www.biomedcentral.com/about/policies/license-agreement	Yes	Yes	2004-10-11T14:21:28Z	Science: Zoology	370	2020-03-20T18:02:20Z	
288	Future Internet	1999-5903	NA	31709033	10.3390/fi10070057	done	Future Internet	http://www.mdpi.com/journal/futureinternet/	NA	MDPI AG	NA	MDPI AG	Switzerland	Yes	http://www.mdpi.com/journal/futureinternet/apc	1000	CHF - Swiss Franc	NA	http://www.mdpi.com/journal/futureinternet/apc	NA	NA	NA	NA	NA	Swiss National Library	NA	https://www.e-helvetica.nb.admin.ch/pages/main.jsf	Yes	DOI	Yes	http://www.mdpi.com/journal/futureinternet/stats	2009	"PDF, HTML"	semantic web	English	http://www.mdpi.com/journal/futureinternet/editors	Blind peer review	http://www.mdpi.com/journal/futureinternet/instructions#editorial_procedure	http://www.mdpi.com/journal/futureinternet/about	http://www.mdpi.com/journal/futureinternet/instructions	Yes	http://www.mdpi.com/journal/futureinternet/instructions#ethics	11	http://www.mdpi.com/journal/futureinternet/about	Yes	http://www.mdpi.com/1422-0067/15/3/4915	CC BY	NA	http://www.mdpi.com/journal/futureinternet/about	Yes	Sherpa/Romeo	TRUE	http://www.mdpi.com/about/openaccess	TRUE	http://www.mdpi.com/about/openaccess	Yes	Yes	2010-01-27T13:42:48Z	Technology: Technology (General): Industrial engineering. Management engineering: Information technology	762	2020-03-13T14:14:50Z	
289	Gastroenterol Res Pract	1687-6121	1687-630X	32190045	10.1155/2020/9548171	done	Gastroenterology Research and Practice	https://www.hindawi.com/journals/grp/	NA	Hindawi Limited	NA	Hindawi	United Kingdom	Yes	https://www.hindawi.com/journals/grp/apc/	1900	USD - US Dollar	NA	https://www.hindawi.com/journals/grp/apc/	NA	NA	Yes	https://www.hindawi.com/journals/grp/apc/	"CLOCKSS, LOCKSS, PMC/Europe PMC/PMC Canada, Portico"	NA	NA	https://www.hindawi.com/journals/grp/ai/	Yes	DOI	Yes	https://www.hindawi.com/journals/grp/2017/2195361/	2008	"PDF, HTML, ePUB, XML"	"gastroenterology, digestive system"	English	https://www.hindawi.com/journals/grp/editors/	Blind peer review	https://www.hindawi.com/journals/grp/workflow/	https://www.hindawi.com/journals/grp/aims/	https://www.hindawi.com/journals/grp/guidelines/	Yes	https://www.hindawi.com/journals/grp/ethics/	19	https://www.hindawi.com/journals/grp/	Yes	https://www.hindawi.com/journals/grp/2015/417685/	CC BY	NA	https://www.hindawi.com/journals/grp/guidelines/	Yes	Sherpa/Romeo	TRUE	https://www.hindawi.com/journals/grp/guidelines/	TRUE	https://www.hindawi.com/journals/grp/guidelines/	Yes	Yes	2008-05-15T09:56:59Z	Medicine: Internal medicine: Specialties of internal medicine: Diseases of the digestive system. Gastroenterology	1847	2020-03-23T15:27:46Z	
290	Gateways	NA	1836-3393	31236142	10.5130/ijcre.v11i1.5721	done	Gateways : International Journal of Community Research & Engagement	http://epress.lib.uts.edu.au/journals/index.php/ijcre	IJCRE	UTS ePRESS	University of Technology Sydney	OJS	Australia	No	http://epress.lib.uts.edu.au/journals/index.php/ijcre	NA	NA	NA	http://epress.lib.uts.edu.au/journals/index.php/ijcre	NA	NA	NA	NA	"CLOCKSS, Portico"	NA	NA	http://epress.lib.uts.edu.au/journals/index.php/ijcre/about/editorialPolicies#archiving	Yes	DOI	NA	NA	2008	"PDF, HTML"	"community research, community cultural development, social capital, community engagement"	English	http://epress.lib.uts.edu.au/journals/index.php/ijcre/about/editorialTeam	Double blind peer review	http://epress.lib.uts.edu.au/journals/index.php/ijcre/about/editorialPolicies#peerReviewProcess	http://epress.lib.uts.edu.au/journals/index.php/ijcre/about/editorialPolicies#focusAndScope	http://epress.lib.uts.edu.au/journals/index.php/ijcre/about/submissions#authorGuidelines	Yes	http://epress.lib.uts.edu.au/journals/index.php/ijcre/information/authors	34	http://epress.lib.uts.edu.au/journals/index.php/ijcre/about/editorialPolicies#openAccessPolicy	Yes	http://epress.lib.uts.edu.au/journals/index.php/ijcre/rt/metadata/3395/0	CC BY	NA	http://epress.lib.uts.edu.au/journals/index.php/ijcre/about/submissions#copyrightNotice	Yes	Sherpa/Romeo	TRUE	http://epress.lib.uts.edu.au/journals/index.php/ijcre/about/submissions#copyrightNotice	TRUE	http://epress.lib.uts.edu.au/journals/index.php/ijcre/about/submissions#copyrightNotice	Yes	Yes	2009-09-08T13:53:21Z	Social Sciences: Communities. Classes. Races: Human settlements. Communities	155	2019-12-21T02:18:25Z	
291	Genet. Sel. Evol.	0999-193X	1297-9686	32188420	10.1186/s12711-020-00534-w	done	Genetics Selection Evolution	http://www.gsejournal.org/	NA	BMC	French National Institute for Agricultural Research	BMC	United Kingdom	Yes	http://gsejournal.biomedcentral.com/about	1175	GBP - Pound Sterling	NA	http://gsejournal.biomedcentral.com/about	NA	NA	Yes	http://gsejournal.biomedcentral.com/about	"LOCKSS, CLOCKSS, Portico, PMC/Europe PMC/PMC Canada"	British Library; Koninklijke Bibliotheek	NA	http://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/journal-archiving	Yes	DOI	Yes	http://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/article-metrics	1989	"PDF, HTML"	"genetics, domestic animals, farm animals"	"English, French, German"	http://gsejournal.biomedcentral.com/about/editorial-board	Blind peer review	http://gsejournal.biomedcentral.com/about	http://gsejournal.biomedcentral.com/about	http://gsejournal.biomedcentral.com/submission-guidelines	Yes	http://www.biomedcentral.com/getpublished/editorial-policies	26	http://gsejournal.biomedcentral.com/about	Yes	http://gsejournal.biomedcentral.com/articles/10.1186/s12711-017-0296-3	CC BY	NA	http://www.biomedcentral.com/getpublished/copyright-and-license	Yes	Sherpa/Romeo	TRUE	http://www.biomedcentral.com/about/policies/license-agreement	TRUE	http://www.biomedcentral.com/about/policies/license-agreement	Yes	Yes	2009-01-16T08:49:53Z	Agriculture: Animal culture | Science: Biology (General): Genetics	2889	2020-03-20T18:06:28Z	
292	Genome Biol.	NA	1474-760X	32200760	10.1186/s13059-020-01966-9	done	Genome Biology	http://genomebiology.com/	NA	BMC	NA	BMC	United Kingdom	Yes	http://genomebiology.biomedcentral.com/submission-guidelines/fees-and-funding	1900	GBP - Pound Sterling	NA	http://genomebiology.biomedcentral.com/submission-guidelines/fees-and-funding	NA	NA	NA	NA	"LOCKSS, CLOCKSS, PMC/Europe PMC/PMC Canada"	NA	Koninklijke Bibliotheek	http://www.biomedcentral.com/about/archive	Yes	DOI	Yes	http://genomebiology.com/2014/15/7/404/about	2000	"PDF, HTML"	"molecular biology, cellular biology, genomics, bioinformatics, proteomics"	English	http://genomebiology.com/about/edboard	Blind peer review	http://genomebiology.com/about#publication	http://genomebiology.com/about#aimsscope	http://genomebiology.com/authors/instructions	Yes	http://www.biomedcentral.com/about/editorialpolicies#DuplicatePublication	14	http://genomebiology.com/about/#openaccess	Yes	http://genomebiology.com/2014/15/10/466	CC BY	NA	http://www.biomedcentral.com/about/license	Yes	Sherpa/Romeo	TRUE	http://genomebiology.com/about/#whypublish	TRUE	http://genomebiology.com/about/#whypublish	Yes	Yes	2014-12-19T14:31:21Z	Science: Biology (General): Genetics	774	2020-03-20T18:38:39Z	
293	Genome Med	NA	1756-994X	32192534	10.1186/s13073-020-00728-3	done	Genome Medicine	https://genomemedicine.biomedcentral.com/	NA	BMC	NA	BMC	United Kingdom	Yes	https://genomemedicine.biomedcentral.com/about	1780	GBP - Pound Sterling	NA	https://genomemedicine.biomedcentral.com/about	NA	NA	Yes	https://genomemedicine.biomedcentral.com/about	"CLOCKSS, LOCKSS, PMC/Europe PMC/PMC Canada, Portico"	Library of Congress 	NA	https://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data	Yes	DOI	Yes	https://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data#article+metrics	2009	"PDF, HTML"	"genetics, genomics, multi-omics, precision medicine, systems medicine"	English	https://genomemedicine.biomedcentral.com/about/editorial-board	Blind peer review	https://genomemedicine.biomedcentral.com/about	https://genomemedicine.biomedcentral.com/about	https://genomemedicine.biomedcentral.com/submission-guidelines	Yes	https://www.biomedcentral.com/getpublished/editorial-policies	10	https://genomemedicine.biomedcentral.com/about	Yes	https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3	CC BY	NA	https://genomemedicine.biomedcentral.com/submission-guidelines/copyright	Yes	Sherpa/Romeo	TRUE	https://www.biomedcentral.com/about/policies/license-agreement	TRUE	https://www.biomedcentral.com/about/policies/license-agreement	Yes	Yes	2016-02-09T11:22:54Z	Medicine | Science: Biology (General): Genetics	333	2020-03-20T17:56:21Z	
